arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_15,capacity_18
1,34,200866017,44156092,663990342,5863073,129340774,46564633,36689444,10525170,117746698,2302539,21120288,1751203,24949802,28444273,215408377
2,3,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
2,16,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
3,2,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
3,4,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
4,3,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
4,5,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
5,4,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
5,6,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
6,5,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
6,7,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
7,6,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
7,8,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
8,7,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
8,9,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
9,8,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
9,10,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
10,9,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
10,11,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
11,10,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
11,12,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
12,11,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
12,13,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
13,12,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
13,14,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
14,13,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
14,15,951770825,209226433,3146209819,27781216,612860139,220638913,173846942,49871803,557923505,10910209,100075040,8297793,118220567,134778544,1020677424
15,14,951770825,209226433,3146209819,27781216,612860139,220638913,173846942,49871803,557923505,10910209,100075040,8297793,118220567,134778544,1020677424
16,18,1234124070,271295748,4079567441,36022818,794671816,286093865,225420542,64666820,723437627,14146842,129763397,10759425,153291994,174762076,1323472567
16,2,1914746144,420915935,6329457639,55889479,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,271143736,2053370528
17,18,778814183,171205620,2574477769,22732788,501490649,180544213,142255320,40809054,456537149,8927596,81889314,6789911,96737420,110286467,835199013
17,30,1018997788,224004842,3368437824,29743502,656148634,236223425,186126370,53394426,597331629,11680835,107143696,8883896,126570906,144298433,1092771506
18,16,1234124070,271295748,4079567441,36022818,794671816,286093865,225420542,64666820,723437627,14146842,129763397,10759425,153291994,174762076,1323472567
18,17,778814183,171205620,2574477769,22732788,501490649,180544213,142255320,40809054,456537149,8927596,81889314,6789911,96737420,110286467,835199013
19,29,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
19,30,1064019482,233901897,3517263246,31057639,685138807,246660326,194349866,55753516,623723131,12196922,111877554,9276407,132163104,150673873,1141052694
19,33,401732034,88312184,1327980685,11726146,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605,56888546,430816755
20,21,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
20,31,535574807,117734652,1770416441,15632880,344865005,124156614,97826115,28063564,313951390,6139327,56313630,4669285,66524373,75841779,574349518
21,20,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
21,22,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
22,23,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
22,21,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
23,24,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
23,22,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
24,25,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
24,23,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
25,24,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
25,26,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
26,25,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
26,27,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
27,26,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
27,28,662287447,145589712,2189282560,19331492,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498,93785327,710235938
