node,pos_00,pos_01,inflow_00,inflow_01,inflow_02,inflow_03,inflow_05,inflow_06,inflow_07,inflow_08,inflow_09,inflow_10,inflow_11,inflow_12,inflow_13,inflow_15,inflow_18
1,754197,7517145,0,4791103,0,0,0,0,0,0,0,0,0,0,0,0,0
2,712244,7543901,0,0,0,250716,0,0,0,0,0,0,-180947,-65819,-390413,454960,14007724
3,704657,7550344,343029,0,0,-129,0,0,58539,0,0,0,-1249983,0,-1124,130937,-17449277
4,701000,7558605,0,0,0,-192193,-2206805,-3876221,-114863,128822,0,-48772,-1388957,-40148,-1546263,0,-20994236
5,698501,7566979,-396789,0,1713624841,213110,0,-783850,-37369,110169,0,0,0,40691,618658,0,12572227
6,694806,7574553,6425825,0,-1713624841,0,0,-819922,-21693,131480,0,-49169,0,61511,486341,-31154,-12297490
7,686052,7577504,0,0,0,296,0,0,0,0,0,0,-380053,-16511,1043875,0,0
8,677558,7580915,0,-113957948,0,0,0,0,0,0,0,0,-422359,0,-648591,0,0
9,667539,7586705,0,17242155,0,0,0,3455006,-16708,0,0,109546,-373660,12854,-520877,-543937,3957590
10,657629,7586635,0,20031337,0,-203281,0,794725,0,0,0,0,-857536,0,607167,0,0
11,655634,7587481,0,12682923,0,0,0,-779008,-50664,-310924,0,-27208,858506,-18714,0,-351065,0
12,651311,7592925,0,0,0,0,-4687403,0,-24282,146474,-18868133,-25083,-8984,0,402543,0,-49585
13,643704,7594479,0,0,0,0,0,221293,0,0,0,279756,0,104336,327717,0,0
14,636389,7593784,56546,19009112,0,0,0,0,0,250627,0,0,-1637855,0,0,-859115,0
15,633605,7594293,-10369,19999464,0,254419,-1387028,0,-95302,-192020,0,0,0,0,0,-335699,-5559416
16,716576,7537734,2282646,15664941,0,744727,0,3862139,0,0,8636870,-25181,-528230,0,546195,0,0
17,719175,7535887,-4980915,-434583,0,-654625,12225391,-1471994,-53095,-259988,0,-39522,0,77130,409081,0,0
18,718373,7537363,3268256,9966428,0,0,-1805564,362530,0,-776536,1012082,-51890,12292,100884,626974,0,-219387
19,720832,7528917,0,-31370845,0,206952,-4877415,0,-38766,0,5961576,-36695,0,-67935,278325,0,0
20,735348,7461139,-15778825,741116,0,155703,-11492140,0,1175515,0,2596640,0,-1612998,0,475730,0,0
21,725813,7469537,0,-470401,0,0,0,4605056,1166035,132536,669106,-31982,464537,0,-387467,0,0
22,722119,7476760,12424578,-3153206,0,0,-2954,1034145,0,378021,0,0,1317410,-141150,1236861,958505,6681427
23,718567,7485657,-8976313,1099390,0,442733,-6016953,1465969,-105918,0,0,95608,-1620828,101936,0,-826337,3948895
24,717148,7498205,19915795,0,134814777,-99,-5643363,0,-1380368,63130,0,-54950,838463,0,0,-1064087,0
25,717342,7500820,9999316,-599677,0,0,11445846,6095725,-2963092,115995,0,0,446714,0,1380906,-14815,6311065
26,720817,7506749,0,0,0,0,0,3126540,0,440036,0,-35607,-3163924,105013,447218,0,0
27,722137,7510547,0,-2963290,50722705,-757143,-5189468,2409748,0,-211376,2527596,0,0,103076,-194543,0,0
28,719877,7516356,-32737566,-611220,-125096763,-31900,-1442379,0,0,200432,0,-29328,0,-180702,-1173000,118869,0
29,719953,7523307,0,566330,0,-396714,-3178494,1807842,-22014,302734,0,-109236,-1733166,106559,1251418,-206535,10417574
30,718979,7530000,0,-17778801,-20973745,86736,0,-3166768,0,0,-3108814,0,629461,-115201,1083102,0,8984890
31,744773,7457377,0,15854413,-13115929,361055,-8725078,0,3085409,0,915854,0,3146976,80438,-609728,0,-16818411
32,747747,7463661,0,-23882589,0,0,0,0,0,0,0,0,0,0,0,0,0
33,729627,7526670,0,5586018,0,0,0,0,0,0,0,0,0,0,0,0,0
34,751589,7517503,0,36197257,0,0,0,0,0,0,0,0,0,0,0,0,0
35,750449,7451255,0,0,0,0,-7079107,0,0,0,6861259,0,0,0,1085369,0,4100449
36,804218,7325347,0,-5768437,0,-1527452,6545967,-4545022,0,189050,18168448,0,-539213,-130252,-455338,-485582,3976490
37,799382,7333226,0,6281586,0,1882313,0,0,0,-628776,11927024,-126133,0,96617,0,0,-18069440
38,789703,7341863,3681923,-6720800,0,490870,0,-2632228,0,99666,0,-39337,422368,132241,0,0,29181297
39,784942,7348411,9192874,-6357582,-163001016,-483392,0,0,0,0,8840365,0,0,-225628,0,-1535416,0
40,778469,7355495,0,3699892,0,0,-16507993,0,6245420,94766,0,0,-716240,-215587,-1075911,0,-11084231
41,774653,7364056,0,-14487761,-186286157,88814,-7838282,-6349641,-4793110,-429558,23888554,0,-269152,-170014,0,10071445,7983457
42,768511,7373483,0,0,-183834795,-61688,0,0,0,0,-7217585,0,0,36986,-1766481,0,5008335
43,763446,7378435,0,3624602,351574769,-419453,9169166,0,-3726854,89707,-23282712,0,556234,0,0,-4808025,19605075
44,761524,7386195,5453770,0,549057090,0,0,-1600458,0,0,0,-49441,0,304146,-965180,0,-20235804
45,766860,7396027,-20965273,3778062,0,-54216,0,0,0,0,0,55351,0,142929,1284564,-779633,-25931158
46,764359,7404992,-12967520,-5986472,589059645,-289076,13761095,-1202904,0,133602,0,0,2400063,0,0,-9304991,-8908931
47,761730,7416490,0,4685798,-152227295,0,8986880,7248791,-2275588,260676,0,0,0,53606,0,0,0
48,758491,7424764,0,-7148289,0,1286676,0,3686080,-2861437,0,-3081714,108462,1463889,-30718,0,4982849,0
49,754706,7430309,0,-12900455,-105384639,0,0,0,0,234214,0,0,0,0,-2874310,0,-8634674
50,749909,7439768,0,18195412,0,0,0,0,1959123,0,4854771,-35838,2586629,-83222,0,0,0
51,748528,7446533,0,6197458,-152091374,-216933,0,-2971650,0,-195734,0,0,0,98461,3807668,0,3656082
52,749007,7449300,0,5779986,0,207358,-8108398,1185072,0,249608,0,0,-907169,-46666,0,2386737,0
53,808537,7311574,98744992,-13824850,127384649,0,0,0,0,0,134146848,0,0,-43375,0,-6888583,0
54,809485,7310118,-64607803,-10670797,158720144,0,12600755,-1545742,0,-255505,-87807887,0,0,35602,350628,-13917435,0
55,814762,7303444,-130673320,0,0,0,0,-4424842,2972748,0,0,0,8594268,0,0,7671881,0
56,818281,7301076,-91825545,5324055,0,0,0,0,574215,0,1458266,0,16512450,0,0,0,0
57,822832,7297961,188361676,18253149,965104495,0,0,0,-1690403,82412,0,0,0,-23409,19960670,12002556,0
58,827456,7295073,-34767885,0,-431809355,-63864,0,8059869,0,0,0,398547,0,47241,8464224,-19674437,0
59,803308,7316533,10237241,0,0,-46908,0,0,-3548765,-2296927,0,257396,2309918,0,0,-3086925,0
60,806029,7317197,0,11971973,-1259476493,-1010722,-30982717,0,0,200511,-20149348,0,0,-380026,-30764233,-5051688,-91754629
61,805636,7320994,35261214,5375436,-160643672,37141,5375169,0,7915526,430636,-10410698,20823,0,80252,0,0,16670534
62,830207,7292481,34767885,6488607,0,0,0,-10267632,1267460,0,-58719333,-398547,-24061993,33941,0,19674437,0
63,773852,7296330,-12528818,0,-24616098,-228975,-6645097,0,2485574,0,0,279734,-1795616,578191,-6223471,0,-318239532
64,739417,7194482,-86779069,0,-47564568,0,-17303685,-2927310,0,-327440,0,-337820,0,247772,861096,4560096,-28459892
65,736257,7206968,0,0,-12827405,-252183,0,3130449,891795,0,0,0,0,0,-6728982,-480554,-31491517
66,736945,7215890,45627983,0,-35189383,404656,0,3965081,0,-130129,0,-90010,0,-255773,1621904,0,-25253026
67,736499,7223817,0,0,-74361794,416755,0,1942793,0,2972972,20115466,0,-2133933,0,-528083,0,35624248
68,737039,7235123,-9799985,0,0,-541813,13967262,0,-2282968,0,0,132442,0,0,-1133155,0,0
69,737978,7243950,-20005848,0,0,79486,-8974630,-4340717,0,2080345,0,0,-2349623,0,0,-1383866,0
70,742990,7251890,0,0,0,845511,0,0,0,0,12232947,87468,-2225410,0,0,3590278,89697096
71,747853,7261014,0,0,-78831178,-411830,0,0,3464683,853868,0,188946,-2276752,-83512,235019,0,-65298272
72,751479,7269103,-15797636,0,0,-9325,-7535748,0,0,610161,-10404825,0,-2950949,-137598,1168188,2056947,24189906
73,753975,7274801,0,0,0,965506,-20119417,734471,0,-920866,0,0,0,217205,0,0,-26456654
74,759099,7284504,46111760,0,40281065,0,0,0,-5459372,2771299,21086589,0,7819301,0,-1023913,0,25888934
75,763909,7291725,-17470167,0,0,0,0,0,1476482,0,-22063706,-238626,-2114670,-303255,-460090,0,-76114864
76,769352,7295111,20774594,0,56702648,-66336,8817968,0,0,-1220545,-23057210,606964,0,0,0,9814918,0
77,775107,7297175,-86117244,0,-70528671,-1139295,-4443763,0,2865215,2503014,0,284962,0,-161873,0,0,0
78,779976,7302528,0,0,-53798515,-57406,29224563,-10171542,0,-621513,26520498,0,0,-413675,-708477,6220524,13673292
79,784589,7309851,0,0,-118105399,-1291230,0,0,-215954,0,0,0,-205912,0,3552484,-2295472,68627187
80,791976,7316923,0,0,42777189,90372,11869694,0,0,0,0,0,0,-123882,-980895,1171534,25769891
81,798077,7315754,-4372520,0,28840368,-414910,0,0,0,0,0,0,0,0,2007616,-2890191,-61653048
82,730993,7104407,0,0,0,1055308,53710647,8647975,-7256905,1326178,0,-506317,-5208152,0,-726916,0,0
83,727820,7116492,37741190,0,0,225622,10795910,8220786,-1061998,-2531795,0,-369619,-3638810,0,-2527339,4587481,-36145577
84,728727,7128236,-80120988,0,0,-50545,-12290328,0,0,-1458228,27069923,124554,0,-147691,0,780752,0
85,723637,7139196,-23547647,0,126589911,-721972,0,-24646395,8718673,0,9230449,0,0,0,0,-5423366,-34274479
